TimOcurrencia,DesCPOcurrencia,EdatConstruccion,Clase_Alta,Clase_MediaAlta,Clase_Media,Clase_MediaSencilla,Clase_Sencilla,Temperatura_max,Temperatura_min,Humitat_max,Humitat_min,Precipitacio_max,Precipitacio_min,IrrSolar_max,IrrSolar_min,Vent_max,Vent_min,ProbabilitatManifestacio,ProbabilitatFesta,VolumSinistres
2017-01-01,8001,69,242,259,3062,166,245,13.1,7.7,80.0,51.0,0.0,0.0,444.0,0.0,5.5,2.3,0.0,74700.0,0
2017-01-02,8001,69,242,259,3062,166,245,15.7,10.0,90.0,66.0,0.0,0.0,426.0,0.0,6.6,0.5,0.0,162268.1,0
2017-01-03,8001,69,242,259,3062,166,245,15.6,9.6,75.0,40.0,0.0,0.0,703.0,0.0,9.1,1.9,0.0,144440.86,0
2017-01-04,8001,69,242,259,3062,166,245,14.9,11.1,88.0,62.0,3.3,0.0,326.0,0.0,6.7,1.6,0.0,83202.31,0
2017-01-05,8001,69,242,259,3062,166,245,17.5,11.8,81.0,38.0,0.0,0.0,944.0,0.0,8.8,0.9,0.0,185709.55,0
2017-01-06,8001,69,242,259,3062,166,245,24.1,19.5,79.0,51.0,0.0,0.0,955.0,0.0,6.4,1.1,0.0,238196.47,0
2017-01-07,8001,69,242,259,3062,166,245,23.2,18.2,65.0,36.0,0.0,0.0,985.0,0.0,8.6,1.8,0.0,79641.59,0
2017-01-08,8001,69,242,259,3062,166,245,28.2,25.0,88.0,69.0,0.3,0.0,709.0,0.0,7.6,1.8,0.0,72781.74,0
2017-01-09,8001,69,242,259,3062,166,245,24.7,21.2,72.0,49.0,0.0,0.0,687.0,0.0,8.6,1.2,0.0,69653.71,0
2017-01-10,8001,69,242,259,3062,166,245,20.6,18.6,92.0,67.0,2.7,0.0,158.0,0.0,5.5,1.3,0.0,189065.86,0
2017-01-11,8001,69,242,259,3062,166,245,20.1,13.8,76.0,55.0,0.0,0.0,587.0,0.0,5.9,0.6,0.0,141000.0,0
2017-01-12,8001,69,242,259,3062,166,245,9.0,5.8,75.0,29.0,0.0,0.0,197.0,0.0,13.3,1.7,0.0,249294.28,0
2017-01-13,8001,69,242,259,3062,166,245,14.8,8.2,73.0,30.0,0.0,0.0,493.0,0.0,14.2,1.3,0.0,56717.18,0
2017-01-14,8001,69,242,259,3062,166,245,12.6,5.6,58.0,16.0,0.0,0.0,495.0,0.0,12.5,2.7,0.0,396042.3,0
2017-01-15,8001,69,242,259,3062,166,245,13.9,5.7,55.0,18.0,0.0,0.0,490.0,0.0,11.6,1.5,8.0,377616.28,0
2017-01-16,8001,69,242,259,3062,166,245,13.5,7.5,71.0,39.0,0.0,0.0,485.0,0.0,5.6,1.6,4.85,153128.4,1
2017-01-17,8001,69,242,259,3062,166,245,7.8,4.4,57.0,16.0,0.0,0.0,509.0,0.0,12.7,1.3,2.94,197922.71,0
2017-01-18,8001,69,242,259,3062,166,245,9.4,3.0,42.0,25.0,0.0,0.0,478.0,0.0,6.5,1.6,3.79,281527.48,0
2017-01-19,8001,69,242,259,3062,166,245,11.1,4.4,64.0,34.0,0.0,0.0,441.0,0.0,13.8,4.4,1.08,50195.05,0
2017-01-20,8001,69,242,259,3062,166,245,10.7,8.9,84.0,63.0,0.7,0.0,247.0,0.0,12.9,7.7,0.0,697171.15,0
2017-01-21,8001,69,242,259,3062,166,245,12.1,9.5,79.0,48.0,0.2,0.0,383.0,0.0,14.2,8.0,1.21,500461.56,0
2017-01-22,8001,69,242,259,3062,166,245,11.3,9.1,80.0,58.0,0.9,0.0,183.0,0.0,13.0,4.5,0.0,385158.74,0
2017-01-23,8001,69,242,259,3062,166,245,11.2,8.6,87.0,61.0,0.4,0.0,198.0,0.0,9.4,1.6,0.0,148017.85,1
2017-01-24,8001,69,242,259,3062,166,245,14.3,8.1,65.0,38.0,0.0,0.0,612.0,0.0,6.1,1.4,0.74,232391.26,0
2017-01-25,8001,69,242,259,3062,166,245,9.3,6.5,70.0,57.0,0.2,0.0,185.0,0.0,9.7,2.1,0.0,484.01,0
2017-01-26,8001,69,242,259,3062,166,245,10.9,5.5,85.0,58.0,0.8,0.0,474.0,0.0,6.1,0.9,0.0,57010.75,0
2017-01-27,8001,69,242,259,3062,166,245,13.6,9.7,94.0,70.0,3.1,0.0,98.0,0.0,8.5,2.1,0.45,29476.56,0
2017-01-28,8001,69,242,259,3062,166,245,14.8,10.2,95.0,59.0,2.6,0.0,546.0,0.0,7.0,1.7,0.0,316508.71,0
