TimOcurrencia,DesCPOcurrencia,EdatConstruccion,Clase_Alta,Clase_MediaAlta,Clase_Media,Clase_MediaSencilla,Clase_Sencilla,Temperatura_max,Temperatura_min,Humitat_max,Humitat_min,Precipitacio_max,Precipitacio_min,IrrSolar_max,IrrSolar_min,Vent_max,Vent_min,ProbabilitatManifestacio,ProbabilitatFesta,VolumSinistres
2017-01-01,17480,30,204,191,1111,14,49,13.8,1.4,97.0,54.0,0.1,0.0,424.0,0.0,4.0,0.0,0.0,74700.0,0.0
2017-01-01,8001,69,242,259,3062,166,245,13.1,7.7,80.0,51.0,0.0,0.0,444.0,0.0,5.5,2.3,0.0,74700.0,0.0
2017-01-01,8028,46,653,483,3201,73,227,11.0,3.0,100.0,57.0,0.0,0.0,457.0,0.0,11.2,3.2,0.0,74700.0,0.0
2017-01-01,8007,69,127,40,343,7,5,12.9,5.4,83.0,50.0,0.0,0.0,438.0,0.0,6.1,1.4,0.0,74700.0,0.0
2017-01-01,8003,82,320,177,1407,41,151,12.9,3.0,90.5,53.5,0.0,0.0,441.0,0.0,6.0,1.15,0.0,74700.0,0.0
2017-01-01,43700,25,298,433,1339,17,67,12.9,0.6,98.0,57.0,0.0,0.0,444.0,0.0,5.9,0.9,0.0,74700.0,0.0
2017-01-01,43006,34,145,144,443,5,71,12.9,1.4,98.0,51.0,0.0,0.0,471.0,0.0,6.6,1.7,0.0,74700.0,0.0
2017-01-01,8593,33,0,1,5,0,0,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17134,32,2,5,13,0,0,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17003,26,226,227,512,14,32,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17176,28,16,29,38,1,1,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17177,34,3,11,9,0,0,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17178,28,14,85,66,0,9,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,17179,34,2,5,12,0,0,12.95,1.0499999999999998,99.0,59.5,0.0,0.0,460.0,0.0,8.05,1.85,0.0,74700.0,0.0
2017-01-01,8380,28,95,605,538,19,34,13.0,0.7,100.0,68.0,0.0,0.0,449.0,0.0,9.5,2.0,0.0,74700.0,0.0
2017-01-01,8585,54,2,2,27,0,1,10.35,0.75,99.0,57.5,0.0,0.0,458.0,0.0,9.5,1.25,0.0,74700.0,0.0
2017-01-01,8529,23,4,0,15,0,1,7.7,0.8,98.0,47.0,0.0,0.0,467.0,0.0,9.5,0.5,0.0,74700.0,0.0
2017-01-02,17480,30,204,191,1111,14,49,15.5,7.6,94.0,66.0,0.0,0.0,505.0,0.0,4.2,0.5,0.0,162268.1,0.0
2017-01-02,8001,69,242,259,3062,166,245,15.7,10.0,90.0,66.0,0.0,0.0,426.0,0.0,6.6,0.5,0.0,162268.1,0.0
2017-01-02,8028,46,653,483,3201,73,227,13.9,8.0,100.0,64.0,0.0,0.0,489.0,0.0,8.6,1.1,0.0,162268.1,1.586141344338459
2017-01-02,8007,69,127,40,343,7,5,14.8,6.9,92.0,65.0,0.0,0.0,456.0,0.0,6.3,0.7,0.0,162268.1,0.0
2017-01-02,8003,82,320,177,1407,41,151,14.8,5.45,95.5,70.5,0.0,0.0,471.5,0.0,5.9,0.75,0.0,162268.1,0.0
2017-01-02,43700,25,298,433,1339,17,67,14.8,4.0,99.0,76.0,0.0,0.0,487.0,0.0,5.5,0.8,0.0,162268.1,0.0
2017-01-02,43006,34,145,144,443,5,71,15.8,6.5,100.0,68.0,0.0,0.0,544.0,0.0,4.5,0.9,0.0,162268.1,0.0
2017-01-02,8593,33,0,1,5,0,0,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17134,32,2,5,13,0,0,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17003,26,226,227,512,14,32,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17176,28,16,29,38,1,1,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17177,34,3,11,9,0,0,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17178,28,14,85,66,0,9,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,17179,34,2,5,12,0,0,15.45,6.25,99.5,73.0,0.0,0.0,585.5,0.0,6.55,1.35,0.0,162268.1,0.0
2017-01-02,8380,28,95,605,538,19,34,15.1,6.0,99.0,78.0,0.0,0.0,627.0,0.0,8.6,1.8,0.0,162268.1,0.0
2017-01-02,8585,54,2,2,27,0,1,14.35,5.0,99.5,64.5,0.0,0.0,564.0,0.0,8.45,1.1,0.0,162268.1,0.0
2017-01-02,8529,23,4,0,15,0,1,13.6,4.0,100.0,51.0,0.0,0.0,501.0,0.0,8.3,0.4,0.0,162268.1,0.0
2017-01-03,17480,30,204,191,1111,14,49,16.0,6.4,83.0,44.0,0.0,0.0,639.0,0.0,9.2,0.8,0.0,144440.86,0.0
2017-01-03,8001,69,242,259,3062,166,245,15.6,9.6,75.0,40.0,0.0,0.0,703.0,0.0,9.1,1.9,0.0,144440.86,0.0
